Row,Anon Student Id,Time,Duration (sec),Problem Name,Problem View,Step Name,Attempt At Step,Outcome,KC (Original),KC (LFASearchModel0),KC
1,Stu_0a8e3638e3c0deb4e5e49c72286a5b83,1996-02-01 00:00:47,0,RECTANGLE_ABCD,1,(AREA QUESTION1),1,CORRECT,ALT:PARALLELOGRAM-AREA,Geometry*parallelogram-area,A
2,Stu_0a8e3638e3c0deb4e5e49c72286a5b83,1996-02-01 00:00:56,9,RECTANGLE_ABCD,1,(HEIGHT QUESTION2),1,CORRECT,ALT:PARALLELOGRAM-SIDE,Geometry*parallelogram-area,B
3,Stu_0a8e3638e3c0deb4e5e49c72286a5b83,1996-02-01 00:01:15,19,RECTANGLE_ABCD,1,(BASE QUESTION3),1,CORRECT,ALT:PARALLELOGRAM-SIDE,Geometry*parallelogram-area,B
4,Stu_0a8e3638e3c0deb4e5e49c72286a5b83,1996-02-01 00:01:24,0,BUILDING_A_SIDEWALK,1,(LARGE-RECTANGLE-AREA QUESTION1),1,CORRECT,ALT:PARALLELOGRAM-AREA,Geometry*parallelogram-area,A
5,Stu_0a8e3638e3c0deb4e5e49c72286a5b83,1996-02-01 00:01:29,5,BUILDING_A_SIDEWALK,1,(POOL-AREA QUESTION1),1,CORRECT,ALT:PARALLELOGRAM-AREA,Geometry*parallelogram-area,A
6,Stu_0a8e3638e3c0deb4e5e49c72286a5b83,1996-02-01 00:01:42,13,BUILDING_A_SIDEWALK,1,(SIDEWALK-AREA QUESTION1),1,CORRECT,ALT:COMPOSE-BY-ADDITION,Geometry,C
7,Stu_0a8e3638e3c0deb4e5e49c72286a5b83,1996-02-01 00:01:57,15,BUILDING_A_SIDEWALK,1,(POOL-AREA QUESTION2),1,CORRECT,ALT:PARALLELOGRAM-AREA,Geometry*parallelogram-area,A
8,Stu_0a8e3638e3c0deb4e5e49c72286a5b83,1996-02-01 00:02:03,6,BUILDING_A_SIDEWALK,1,(LARGE-RECTANGLE-AREA QUESTION2),1,CORRECT,ALT:PARALLELOGRAM-AREA,Geometry*parallelogram-area,A
9,Stu_0a8e3638e3c0deb4e5e49c72286a5b83,1996-02-01 00:02:12,9,BUILDING_A_SIDEWALK,1,(SIDEWALK-AREA QUESTION2),1,CORRECT,ALT:COMPOSE-BY-ADDITION,Geometry*Subtract,C
10,Stu_0a8e3638e3c0deb4e5e49c72286a5b83,1996-02-01 00:02:25,13,BUILDING_A_SIDEWALK,1,(POOL-AREA QUESTION3),1,CORRECT,ALT:PARALLELOGRAM-AREA,Geometry*parallelogram-area,A
11,Stu_0a8e3638e3c0deb4e5e49c72286a5b83,1996-02-01 00:02:32,7,BUILDING_A_SIDEWALK,1,(LARGE-RECTANGLE-AREA QUESTION3),1,CORRECT,ALT:PARALLELOGRAM-AREA,Geometry*parallelogram-area,A
12,Stu_0a8e3638e3c0deb4e5e49c72286a5b83,1996-02-01 00:02:38,6,BUILDING_A_SIDEWALK,1,(SIDEWALK-AREA QUESTION3),1,CORRECT,ALT:COMPOSE-BY-ADDITION,Geometry*Subtract,C
13,Stu_0a8e3638e3c0deb4e5e49c72286a5b83,1996-02-01 00:02:51,0,PARALLELOGRAM_ABDE,1,(AREA QUESTION1),1,CORRECT,ALT:PARALLELOGRAM-AREA,Geometry*parallelogram-area,A
14,Stu_0a8e3638e3c0deb4e5e49c72286a5b83,1996-02-01 00:02:58,7,PARALLELOGRAM_ABDE,1,(HEIGHT QUESTION2),1,CORRECT,ALT:PARALLELOGRAM-SIDE,Geometry*parallelogram-area,B
